store_title,store_addr,gu,dong
파리바게뜨 카페신당대림,서울특별시 중구 신당동 291-18 지상1층,중구,신당동
파리바게뜨 풍납사랑,서울 송파구 바람드리길 59 1층,송파구,풍납동
파리바게뜨 풍납초교,서울 송파구 풍성로 44 1층,송파구,풍납동
파리바게뜨 동대문역,서울시 종로구 창신동 542,종로구,창신동
파리바게뜨 신금호역,서울 성동구 금호산길 65,성동구,금호동2가
파리바게뜨 신당흥인,서울시 중구 신당동 251-160 204호,중구,신당동
파리바게뜨 성동금호,서울특별시 성동구 독서당로 312,성동구,금호동4가
파리바게뜨 아리랑고개,"서울시 성북구 돈암동 524 일신건영휴먼빌 상가 107,108호",성북구,돈암동
파리바게뜨 동소문한신,서울 성북구 성북로4길 52 스카이프라자빌딩 5층,성북구,돈암동
파리바게뜨 미아중앙,서울특별시 강북구 미아동 131-29,강북구,미아동
파리바게뜨 청구장충,서울특별시 중구 청구로 86 1층,중구,신당동
파리바게뜨 하계중앙,서울 노원구 노원로 254,노원구,하계동
파리바게뜨 명일역,서울 강동구 양재대로 1636 1층,강동구,명일동
파리바게뜨 한성대역,서울특별시 성북구 동소문로 11,성북구,동소문동1가
파리바게뜨 중계2동,서울 노원구 동일로203가길 29,노원구,중계동
파리바게뜨 정릉서경,서울특별시 성북구 서경로 78,성북구,정릉동
파리바게뜨 풍납,서울 송파구 토성로 58 도원빌딩 1층,송파구,풍납동
파리바게뜨 중계아울렛,서울특별시 노원구 동일로 204가길 46,노원구,중계동
파리바게뜨 카페미아역,서울특별시 강북구 도봉로 178,강북구,미아동
파리바게뜨 신창초교,서울시 도봉구 창3동 484-31,도봉구,창동
파리바게뜨 성내삼성,서울 강동구 풍성로37길 3 1층,강동구,성내동
파리바게뜨 강동구청,서울 강동구 성내로 19 1층 105호,강동구,성내동
파리바게뜨 굽은다리역,서울특별시 강동구 명일동 353-4,강동구,명일동
파리바게뜨 동대문역사,서울시 중구 광희동 1가 188-4,중구,광희동1가
파리바게뜨 강동역,서울 강동구 성안로 170,강동구,길동
파리바게뜨 카페정릉,서울 성북구 보국문로 40-3,성북구,정릉동
파리바게뜨 강동성내,서울특별시 강동구 천호대로 1092,강동구,성내동
파리바게뜨 금호역,서울특별시 성동구 동호로 93 401동 지2층 4호,성동구,금호동
파리바게뜨 중계무지개,서울 노원구 동일로 1280,노원구,중계동
파리바게뜨 카페약수,서울특별시 중구 신당동 359-6 1층,중구,신당동
파리바게뜨 청담사거리,서울특별시 강남구 도산대로 518 1층,강남구,청담동
파리바게뜨 장충,서울 중구 장충단로 175 1층,중구,장충동1가
파리바게뜨 혜화로타리,서울 종로구 창경궁로 269,종로구,혜화동
파리바게뜨 잠실파크리오,서울시 송파구 올림픽로37길 130,송파구,신천동
파리바게뜨 북한산시티,서울시 강북구 솔샘로 207-1,강북구,미아동
파리바게뜨 압구정현대,"서울특별시 강남구 압구정로 29길 71 제3동 1층 101호, 102호",강남구,압구정동
파리바게뜨 옥수역,서울 성동구 한림말3길 2,성동구,옥수동
파리바게뜨 남산,서울특별시 중구 다산로32,중구,신당동
파리바게뜨 중계역건영,서울시 노원구 동일로 1308,노원구,중계동
파리바게뜨 미아신일,서울특별시 강북구 도봉로 237,강북구,미아동
파리바게뜨 길동사거리,서울 강동구 천호대로 1134,강동구,성내동
파리바게뜨 압구정로데오,서울 강남구 선릉로 819 1층,강남구,신사동
파리바게뜨 삼양시장,서울특별시 강북구 미아동 777-18 1층 (미아동),강북구,미아동
